gene_id,D20,D21,D22,L7,L8,L9,R13B,R15B,R33,S4,S5,S7
Pastreoides07281,0,29,9,7,5,0,54,0,0,0,0,3
Pastreoides07282,0,7,6,27,7,1,45,11,0,10,0,3
Pastreoides53461,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides53460,0,4,0,0,0,0,0,3,0,0,0,0
Pastreoides53463,0,24,19,0,0,1,2,0,0,0,0,0
Pastreoides53462,0,0,0,0,0,0,0,0,4,0,0,0
Pastreoides53465,0,0,0,0,7,65,0,0,0,56,13,39
Pastreoides53464,0,7,0,0,0,0,9,4,0,0,0,0
Pastreoides53467,0,0,0,2,6,53,11,2,0,36,6,7
Pastreoides53466,0,0,0,0,0,34,0,0,0,25,0,0
Pastreoides46962,2,75,36,152,198,272,46,19,20,193,127,285
Pastreoides53468,0,37,107,71,139,367,9,12,0,278,118,151
Pastreoides46960,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides46961,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides46966,0,253,310,1107,1073,1315,449,52,19,1228,731,1992
Pastreoides10053,0,85,203,323,433,910,327,156,0,609,284,578
Pastreoides46964,9,128,137,487,572,555,175,33,7,565,301,713
Pastreoides46965,0,281,509,1114,1104,1699,433,80,0,1578,983,2415
Pastreoides55842,0,0,0,11,19,16,34,0,0,8,5,0
Pastreoides07286,0,0,2,16,31,16,9,3,0,0,12,8
Pastreoides55845,2,87,163,791,605,714,220,89,23,691,393,960
